prdContent,userName
"AeolusWell 是一个通过奖励促进健康行为的平台，专注于提供医学信息和药品购买服务。

目标
提供全面的医学和药品教育
提供可靠的医学见解和急救知识
促进药品信息获取和购买
提供流畅的用户体验以提升满意度
用户需求
轻松访问和完成健康任务
获取可靠的医学和药品资源
学习医学知识和急救技能
高效跟踪和兑换获得的积分
流畅直观的平台体验
功能需求
4.1 医学任务和教育
任务浏览：用户可以探索和选择医学教育相关的任务。
任务完成：用户通过完成教育任务赚取积分。
教育内容：提供医学主题的文章、视频和课程。
医学信息：提供常见疾病、健康生活方式和药物研发的文章。
急救知识：包含急救技巧和步骤的指南。
4.2 药品信息和购买
药品信息：用户可以访问药品的详细信息。
购买选项：通过验证的渠道促进药品购买。
处方管理：用户可以管理和跟踪他们的处方。
4.3 奖励和积分管理
积分跟踪：用户可以查看当前的积分余额。
奖励目录：用户可以浏览并选择多种奖励进行兑换。
兑换流程：简单的积分兑换奖励流程。
4.4 账户管理
个人资料管理：用户可以更新个人信息和偏好设置。
历史记录：用户可以查看任务完成和奖励兑换历史。
支持访问：用户可以联系支持以获得帮助。",王坤
"「LINEのウォレットタブを、平均利用金額を上げるための改善する」ことを目的に、LINEのウォレットタブ画面のデザインを修正してください。

なお、条件は下記です。
・初回利用者を増やすのでなく、一度使ったことのある人にフォーカスする。
・平均利用額＝頻度✖︎利用額とし、頻度の優先度を上げること。
・ウォレットの領域をポイントに振り切った際の模索をお願いします。現在もポイントを貯める、使うという概念がありますが、具体的に何に使えるのか、どうしたらたまるのか、がわかりにくいかと思います。「これなら毎回きて、活用してくれるのでは」という点で具体的に模索してみて。",kodai.momma
我需要生成一个保险系统登录页，包含侧边栏，仪表盘和数据看板。,钱 成
"Generate a pricing with my current components.

there are 3 plans, basic, pro, enterprise. the Price are $0, $15/Month, $45/Month.

pro version has more data and template to use.

enterprise version has admin user control dashboard and LDAP login.",Zhenyang Li
"design the 365FitPro User Dashboard:

User Dashboard - UI
1. Overall Layout
Header:

Position: Fixed at the top.
Content: Logo (left, clickable), Navigation Links (center/right: Home, Workouts, Sessions, Payments, Profile), Notifications & Profile (bell icon with badge, user avatar with dropdown for Settings, Help, Logout).
Style: Soft gray/white background, dark blue/black text, bold sans-serif font.
Sidebar:

Position: Left side, vertical.
Content: Quick Links (icons with labels for key sections).
Style: Light gray background, vibrant icons, highlighted icon background on hover.
Main Content Area:

Layout: Two columns.
Left Column (70%): Main content (session details, progress charts, workout logs).
Right Column (30%): Quick actions, notifications, mini calendar.
Style: White background, generous padding, soft shadow/border, clear modern sans-serif fonts.
2. Detailed Components
a. Upcoming Sessions (Left Column):

Title: “Your Next Sessions”
Session Cards: Trainer’s name, session type, time, date, profile image, “Join Now” and “Reschedule” buttons.
Style: White/light gray background, dark text, vibrant action buttons, slight elevation on hover.
b. Workout Summary (Left Column):

Title: “Recent Workouts”
Graph: Bar/Line graph showing progress (e.g., Calories Burned, Workouts Completed), color-coded metrics, interactive hover details.
Summary Text: Highlights achievements (e.g., “You’ve completed 5 workouts this week!”).
c. Messaging Center (Right Column):

Title: “Messages”
Message List: Profile image, message preview, timestamp, clickable for detailed view.
Style: White background, dividers, bold text for unread messages.
d. Quick Actions (Right Column):

Title: “Quick Actions”
Buttons: “Book a Session,” “Log Workout,” “View Progress” with icons.
Style: Rounded corners, vibrant colors, darker shade on hover.
3. Interaction Details
Responsive Design:

Mobile View: Two-column layout collapses into a single column, sticky header, navigation becomes a hamburger menu.",Alieu
"Recreate a personal style analysis Report. The report should include: 
1. Recommended full body recommendation rendering(compare before & after)
2. Style diagnosis （比如可爱型，温柔型，御姐型等）
also show related Influencers/celebrity references
3. Head analysis: face diagnosis, recommended hair style, makeup
4. Body analysis: Body shape diagnosis, Color test, recommended Jewelry style, Occassion Outfit (for example, workout, dance, work)",Claire Zhou
"Document (PRD):
1.这是一个后台数据看板的首页
2.左侧有个层级的导航栏，第一层至展示图标；第二层展示图标和文案，支持下拉展开
3.右侧区域为核心数据看板区域；
顶部显示5个关键指标及周环比数据；
下面接着展示本月gmv折现变化图；折线图右侧显示top10类别的gmv排序；
接着显示每个类别商品的利润表格，右侧显示一些提醒",jameyang
"これから、WEBサイト名　crimo-GX　が扱う「ESG−α」というエアコンの室外機につける省エネ部材を取り扱うランディングページを作ってください。
ヘッダー、キャッチイメージ、簡易シミュレーター、ESG-αとは、困ったことを解決します、お客様の声、問い合わせ、フッターの各項目に分けて作ってください",matsu tsune
"1. Introduction
This product is a service designed to automate lease contract management and expense billing for HR managers. Through this product, HR managers can manage lease vehicles, match vehicles with employees and lease conditions to generate lease contracts, and verify the monthly lease expenses that need to be billed.

2. Objectives
To provide a convenient lease management tool
3. User Needs
Users need to easily create lease contracts.
Users need automated lease cost calculations.
4. Functional Requirements
4.1 Vehicle Management

Vehicle Registration:
Mandatory Fields: Plate number (8-digit number), VIN (17-character alphanumeric), Model, Engine type, MSRP (price in Euros), Mileage (numeric).
Optional Fields: Registration date (date), Inspection date (date), Comment (text).
Vehicle Status Update:
Users can set the vehicle status to Active or Inactive.
Vehicle Search and Filtering:
Users can search for vehicles by Plate number.
Users can filter vehicles by Status.
4.2 Employee Management

Employee Registration:
Mandatory Fields: User ID (4 characters + 4 digits), Name (text), Paygrade (options: G1-G5), Commuting km (numeric).
Optional Fields: Address (text), Phone number (numeric), Note (text).
Employee Search and Filtering:
Users can search for employees by User ID or Name.
Users can filter employees by Paygrade.
4.3 Lease Condition Management

Lease Condition Registration:
Users can set Lease duration and Lease rate based on the vehicle Model.
4.4 Lease Contract Management

Lease Contract Registration:
Users must select registered vehicles and employees within the lease form.
Lease conditions corresponding to the selected vehicle's Model must be auto-filled.
4.5 Expense Billing

Expense Calculation:
Users can view the Lease fee for all registered contracts on a monthly basis.
Lease fee Calculation Formula: MSRP of the vehicle * Lease rate from the lease conditions.",hawkeye
"1. 销售流程界面设计
A. 动态排序列表界面

内容：
仪表板视图： 展示潜在客户的动态列表，按未来30天内的购买可能性排序。每个客户条目应包含客户名称、联系方式、购买意向分数等。
客户洞察： 鼠标悬停或点击客户条目时，显示一个弹出框或侧边栏，展示客户的关键细节，如互动历史、浏览记录和购买历史等。
通知面板： 设计一个通知区域，提醒销售人员特定客户准备进行扩展或升级对话。
交互：
客户条目可点击以查看详情，或拖拽至特定区域进行标记或分组。
通知可以通过点击快速导航至对应客户的详细视图。
B. 客户联系详情界面

内容：
详细视图： 显示从排序列表中选择的客户的全面信息，包括邮件沟通记录、购买历史和浏览行为。界面应包含多个信息卡片或标签页，方便切换查看不同类型的信息。
AI辅助建议： 在界面的某个位置（例如侧边栏）展示AI生成的个性化邮件建议和行动建议。
互动日志： 在页面底部或侧边显示邮件互动日志，按时间顺序列出与客户的所有沟通记录。
交互：
信息卡片或标签页可通过点击快速切换。
AI建议可以直接拖入邮件编写区域，或通过点击自动填充。
C. 个性化邮件编写界面

内容：
邮件生成区域： 提供一个全屏或弹出式的邮件编写界面，左侧显示客户基本信息，右侧是邮件正文。支持插入个性化元素，如客户姓名、购买历史等。
模板库： 在编写区域上方或侧边提供模板选择器，允许用户从预制的邮件模板中选择并进行定制。
一键发送与跟踪： 在邮件编写界面提供发送按钮，并在发送后显示邮件的跟踪状态，如打开情况、回复时间等。
交互：
用户可以直接从模板库中拖拽模板至邮件正文区域，或者通过点击自动加载模板。
发送后，界面应弹出一个跟踪状态面板，实时更新邮件的互动情况。
D. 邮件沟通管理界面

内容：
沟通时间表： 提供一个类似甘特图的时间线视图，显示与每个客户的邮件沟通记录。每个沟通点应包含简要内容摘要和时间标记。
邮件分析工具： 设计一个数据分析模块，展示客户对邮件的响应情况，如打开率、点击率和回复率等。
自动跟进提醒： 在界面的某个区域（如右上角）显示自动生成的跟进任务，基于客户的响应情况触发。
交互：
时间线上的每个沟通点可点击以查看详细内容或进行回复。
分析工具的数据视图可切换不同维度，如按时间、客户群组等分类查看。
2. 客户服务流程界面设计
A. 高优先级客户识别界面

内容：
警报系统： 在主界面上突出显示高优先级客户的警报，标记为红色或高亮显示。点击警报后显示客户的详细信息，包括订单状态、服务等级等。
客户档案视图： 设计一个详细档案页面，展示客户的基本信息、价值等级、订单和物流状态等。档案应分为不同区域或标签页，便于信息组织。
交互：
警报点击后自动导航至客户档案视图。
档案视图中的信息可点击展开查看更详细的数据或历史记录。
B. VOC（客户之声）管理界面

内容：
案例概览： 提供一个多标签页界面，每个标签页展示不同类型的VOC工单，如紧急、处理中、已解决。每个工单条目应显示关键信息摘要，并支持快速查看详情。
AI上下文洞察： 在工单详情页面提供AI生成的背景信息、用户情绪分析和建议回复内容。上下文信息应分为多个可折叠的卡片或区域。
交互：
工单条目点击后展开详细视图或弹出窗口，显示完整的沟通记录和上下文。
AI建议可以通过点击或拖拽直接应用于邮件回复区域。
C. AI驱动的电子邮件管理界面

内容：
快速摘要： 在收到的每封邮件旁边显示AI生成的关键点摘要，紧急邮件应以高亮标注。
自动回复草稿： 在邮件正文下方或侧边展示AI生成的回复草稿，用户可以一键采纳或进行编辑。
紧急程度指示： 在邮件列表中使用颜色或图标标记紧急程度，便于客服人员优先处理。
交互：
用户可以通过点击快速摘要展开或折叠详细信息。
回复草稿可以直接拖入邮件正文区域，或点击采纳。
D. 质检与反馈界面

内容：
回复审核： 在发送邮件前，提供一个审阅窗口，由AI检测回复内容的一致性和准确性，显示潜在问题或改进建议。
反馈循环： 在每次回复后提供一个评分模块，客服人员可以评价AI的建议质量，并提交改进意见。
问题升级： 在主界面提供一个问题管理模块，自动标记未解决或处理不当的问题供管理层审阅。
交互：
审阅窗口中的建议可点击采纳或忽略，用户也可以手动修改内容。
评分模块应易于访问，提交后自动更新AI系统的学习模型。",kwin
